Code,buying value,average value,selling value,date
SAR,332.950835,336.280007,339.609179,12/22/2023
SDG,2.080154,2.100954,2.121753,12/22/2023
SEK,123.556545,124.791985,126.027426,12/22/2023
SGD,941.976428,951.395241,960.814054,12/22/2023
SSP,1.164662,1.176307,1.187952,12/22/2023
SZL,67.850749,68.529188,69.207627,12/22/2023
TRY,42.802094,43.230072,43.65805,12/22/2023
TZS,0.496464,0.501428,0.506393,12/22/2023
UGX,0.332225,0.335547,0.338869,12/22/2023
USD,"1,248.97","1,261.46","1,273.94",12/22/2023
XAF,2.090146,2.111045,2.131945,12/22/2023
XDR,"1,672.19","1,688.91","1,705.63",12/22/2023
XOF,2.08515,2.106,2.126849,12/22/2023
ZAR,67.85637,68.534865,69.21336,12/22/2023
ZMW,49.269245,49.761887,50.25453,12/22/2023
ZWD,3.291652,3.324565,3.357479,12/22/2023
BIF,0.437897,0.442275,0.446654,12/21/2023
CAD,934.123616,943.463908,952.804201,12/21/2023
CHF,"1,447.24","1,461.71","1,476.18",12/21/2023
CNH,174.549891,176.295213,178.040536,12/21/2023
CNY,174.625992,176.372076,178.118159,12/21/2023
DKK,183.177455,185.009044,186.840634,12/21/2023
EGP,40.374456,40.778159,41.181863,12/21/2023
ETB,22.170551,22.392234,22.613917,12/21/2023
EUR,"1,365.84","1,379.50","1,393.15",12/21/2023
GBP,"1,576.55","1,592.32","1,608.08",12/21/2023
GHS,103.706054,104.74301,105.779966,12/21/2023
GNF,0.145342,0.146795,0.148248,12/21/2023
HKD,159.854774,161.45316,163.051546,12/21/2023
ILS,342.231913,345.653887,349.07586,12/21/2023
INR,14.982681,15.132493,15.282305,12/21/2023
JPY,8.716142,8.803294,8.890447,12/21/2023
KES,8.0961,8.177053,8.258005,12/21/2023
KMF,2.777089,2.804857,2.832625,12/21/2023
KRW,0.956886,0.966453,0.976021,12/21/2023
KWD,"4,055.95","4,096.50","4,137.06",12/21/2023
LSL,68.216456,68.898551,69.580647,12/21/2023
LYD,260.18553,262.787123,265.388715,12/21/2023
MAD,124.248527,125.490887,126.733247,12/21/2023
MRO,3.490075,3.524972,3.559869,12/21/2023
MUR,28.366603,28.65024,28.933878,12/21/2023
MWK,0.741056,0.748466,0.755876,12/21/2023
MZN,19.530071,19.725352,19.920633,12/21/2023
NGN,1.512678,1.527803,1.542928,12/21/2023
NOK,120.593774,121.79959,123.005406,12/21/2023
PLN,314.57393,317.719351,320.864773,12/21/2023
QAR,342.268716,345.691058,349.113399,12/21/2023
RUB,13.75445,13.89198,14.029511,12/21/2023
SAR,332.578847,335.9043,339.229752,12/21/2023
SDG,2.077826,2.098603,2.119379,12/21/2023
SEK,122.75394,123.981355,125.20877,12/21/2023
SGD,937.881294,947.259159,956.637025,12/21/2023
SSP,1.163358,1.174991,1.186623,12/21/2023
SZL,68.216456,68.898551,69.580647,12/21/2023
TRY,42.860861,43.289426,43.717992,12/21/2023
TZS,0.495909,0.500867,0.505826,12/21/2023
UGX,0.33123,0.334542,0.337854,12/21/2023
USD,"1,247.57","1,260.04","1,272.52",12/21/2023
XAF,2.082817,2.103643,2.124469,12/21/2023
XDR,"1,667.93","1,684.60","1,701.28",12/21/2023
XOF,2.084688,2.105533,2.126378,12/21/2023
ZAR,68.19088,68.87272,69.55456,12/21/2023
ZMW,49.458006,49.952536,50.447067,12/21/2023
ZWD,3.287968,3.320845,3.353721,12/21/2023
AED,339.696853,343.093478,346.490104,12/21/2023
AOA,1.474003,1.488741,1.50348,12/21/2023
AUD,841.734884,850.151383,858.567882,12/21/2023
AED,339.535852,342.930867,346.325883,12/20/2023
AOA,1.473971,1.488709,1.503448,12/20/2023
AUD,843.542935,851.977513,860.41209,12/20/2023
BIF,0.437702,0.442079,0.446455,12/20/2023
CAD,934.023188,943.362476,952.701765,12/20/2023
CHF,"1,447.16","1,461.63","1,476.10",12/20/2023
CNH,174.766583,176.514073,178.261562,12/20/2023
CNY,174.787783,176.535484,178.283185,12/20/2023
DKK,183.29928,185.132088,186.964895,12/20/2023
EGP,40.356506,40.76003,41.163554,12/20/2023
ETB,22.163188,22.384798,22.606407,12/20/2023
EUR,"1,366.73","1,380.39","1,394.06",12/20/2023
GBP,"1,585.83","1,601.68","1,617.54",12/20/2023
GHS,103.659948,104.696443,105.732938,12/20/2023
GNF,0.145277,0.14673,0.148182,12/20/2023
HKD,159.817374,161.415386,163.013399,12/20/2023
ILS,341.259849,344.672103,348.084357,12/20/2023
INR,14.997843,15.147806,15.29777,12/20/2023
JPY,8.674233,8.760966,8.8477,12/20/2023
KES,8.0925,8.173417,8.254334,12/20/2023
KMF,2.772113,2.799831,2.82755,12/20/2023
KRW,0.960201,0.969802,0.979403,12/20/2023
KWD,"4,054.01","4,094.55","4,135.09",12/20/2023
LSL,68.043968,68.724339,69.40471,12/20/2023
